distance,36.576,50,55,60,100,200
36.576,1,0.7680406888,0.6879633611,0.6400911027,0.4156435732,0.1951099662
50,1.302022728,1,0.8957511648,0.8334198251,0.5411817046,0.2540211598
55,1.453580765,1.1164181518,1,0.9304168742,0.6041668015,0.2836335064
60,1.562328762,1.1999441652,1.0748165,1,0.6493506494,0.3048232375
100,2.405986293,1.8479101448,1.6552174571,1.54,1,0.4694278434
200,5.130391123,3.9400926701,3.5298386571,3.2839024271,2.1324041748,1
